Company,Year,Revenue,NetIncome,TotalAssets,TotalLiabilities,CurrentRatio
Gamma Ltd,2021,13851084,2414553,88130995,2127521,1.27
Beta Inc,2019,55017531,8184290,60537038,32978206,2.31
Gamma Ltd,2019,88505817,8887291,169739863,47960672,2.32
Alpha Corp,2021,51942854,941461,40082404,123357354,1.33
Beta Inc,2020,94993736,4275812,144433035,57153878,1.16
Beta Inc,2023,7182827,4511206,174992085,99872113,1.25
Alpha Corp,2019,46447783,1181617,79173779,4061483,2.11
Beta Inc,2021,90070897,9634182,150411590,44741789,2.86
Beta Inc,2022,41123806,9636756,191352246,16979123,0.52
Gamma Ltd,2023,20585579,9699081,139191154,52401170,2.86
Gamma Ltd,2021,96967683,2879596,15098690,85460602,1.55
Gamma Ltd,2021,24492492,3362910,48910978,130449524,0.99
Beta Inc,2020,22848827,5844254,179696556,134443725,2.88
Alpha Corp,2021,60211476,288000,158210048,49093010,2.13
Gamma Ltd,2020,58611608,2686651,184750491,15024803,1.69
Alpha Corp,2023,52027325,9604450,42572004,63505820,0.53
Beta Inc,2022,83852584,6302602,96403130,49576953,1.11
Alpha Corp,2019,81765129,8723802,10027306,88388804,2.09
Gamma Ltd,2019,40603254,1960672,47483595,144787556,0.68
Gamma Ltd,2022,54326268,3883680,91907618,86927426,2.33
Alpha Corp,2020,24039500,3095643,50407026,35301058,2.13
Gamma Ltd,2022,40645293,647179,98525138,55092980,1.82
Beta Inc,2021,9820114,856679,82037056,92860757,0.64
Alpha Corp,2022,20520029,3305057,33763455,53338268,0.55
Alpha Corp,2022,44314980,6176044,57571557,41601278,1.23
Gamma Ltd,2022,2796525,1576831,100496705,21409192,1.66
Gamma Ltd,2019,65060310,8065144,18284506,68801445,2.18
Gamma Ltd,2022,34599425,9647527,193106208,116862247,2.27
Gamma Ltd,2019,24317766,232562,116420604,11549650,2.2
Beta Inc,2022,65400319,4679477,78199365,47096762,1.71
Gamma Ltd,2023,23755655,4145890,150838429,55295718,1.1
Beta Inc,2022,95585720,3038664,132220567,107648859,2.01
Beta Inc,2023,91079947,7925011,92794742,20246839,2.8
Beta Inc,2021,89892250,6010736,163016055,43748263,1.72
Gamma Ltd,2023,34562860,316202,114680891,65121958,0.79
Alpha Corp,2023,35766903,539040,10697396,67190075,2.31
Alpha Corp,2020,8084336,933981,124479889,42677241,1.68
Alpha Corp,2022,46622179,4634459,28617535,100951853,2.07
Beta Inc,2021,14771452,6245500,64957018,59930103,2.11
Beta Inc,2019,66675292,540399,49340578,8349148,2.67
Beta Inc,2022,36415637,5393104,22455146,4824979,1.68
Beta Inc,2023,25711913,402347,72063816,121554728,1.18
Gamma Ltd,2019,37473320,936702,171280131,61366049,1.66
Beta Inc,2023,25737201,1108586,150447879,5513832,1.62
Alpha Corp,2021,15294411,7828106,103010763,3971903,0.65
Gamma Ltd,2021,46365789,5771359,31333539,76531891,0.62
Alpha Corp,2023,25328870,309777,104794914,75488121,1.98
Gamma Ltd,2021,45655545,9122339,105366344,29957454,2.01
Beta Inc,2019,52675747,2009010,127708540,75414257,0.68
Alpha Corp,2022,91011458,3138223,40715346,48535281,0.61
